Title,Link,Description,Image URL,Production Type,Market Presence,Theatre,Age of Production (yrs),Category,Origin,Date,Time,Status
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-01,7:00pm,active
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-02,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-03,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-03,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-05,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-05,8:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-06,3:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-07,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-08,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-09,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-09,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-10,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-11,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-12,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-12,8:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-14,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-15,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-16,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-16,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-17,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-18,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-19,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-19,8:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-21,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-22,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-23,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-23,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-24,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-25,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-26,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-07-26,8:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-01,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-02,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-02,8:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-03,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-06,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-06,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-07,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-08,2:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-08,7:00pm,upcoming
Wicked,https://www.broadway.com/shows/wicked/,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,Musicals,US,Gershwin,21,show-production,N/A,2025-08-09,2:00pm,upcoming
