Name,Link,Image URL,Venue Name,Venue Link,Market,Market Presence,Production Type,Origin,Status,Age of Production,Date Range,Date,Time
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim Theatre,https://maps.google.com/maps?q=Stephen%20Sondheim%20Theatre,Broadway,"124 W. 43RD ST., NEW YORK, NY (US)",Musical,Original,Active,2 years,SCHEDULE,June 18–22: Wednesday,"7pm, Thursday"
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim Theatre,https://maps.google.com/maps?q=Stephen%20Sondheim%20Theatre,Broadway,"124 W. 43RD ST., NEW YORK, NY (US)",Musical,Original,Active,2 years,SCHEDULE,June 24–29: Tuesday,"7pm, Wednesday"
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam Theatre,https://maps.google.com/maps?q=New%20Amsterdam%20Theatre,Broadway,"214 W. 42ND ST., NEW YORK, NY (US)",Musical,Original,Active,11 years,SCHEDULE,June 17–22: Tuesday,"7pm, Wednesday"
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam Theatre,https://maps.google.com/maps?q=New%20Amsterdam%20Theatre,Broadway,"214 W. 42ND ST., NEW YORK, NY (US)",Musical,Original,Active,11 years,SCHEDULE,June 24–29: Tuesday,"7pm, Wednesday"
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst Theatre,https://maps.google.com/maps?q=Broadhurst%20Theatre,Broadway,"235 W. 44TH ST., NEW YORK, NY (US)",Musical,Original,Active,0 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld Theatre,https://maps.google.com/maps?q=Gerald%20Schoenfeld%20Theatre,Broadway,"236 W. 45TH ST., NEW YORK, NY (US)",Musical,Original,Active,0 years,SCHEDULE,June 18–22: Wednesday,"2pm and 7:30pm, Thursday"
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld Theatre,https://maps.google.com/maps?q=Gerald%20Schoenfeld%20Theatre,Broadway,"236 W. 45TH ST., NEW YORK, NY (US)",Musical,Original,Active,0 years,SCHEDULE,June 24–29: Tuesday,"7pm, Wednesday"
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson Theatre,https://maps.google.com/maps?q=August%20Wilson%20Theatre,Broadway,"245 W. 52ND ST., NEW YORK, NY (US)",Musical,Revival,Upcoming,1 years,SCHEDULE,June 17–22: Tuesday,"7pm, Wednesday"
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson Theatre,https://maps.google.com/maps?q=August%20Wilson%20Theatre,Broadway,"245 W. 52ND ST., NEW YORK, NY (US)",Musical,Revival,Upcoming,1 years,SCHEDULE,June 24–29: Tuesday,"7pm, Wednesday"
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,https://maps.google.com/maps?q=Studio%2054,Broadway,"254 W. 54TH ST, NEW YORK, NY (US)",Play,One Act,Active,0 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Chicago,https://playbill.com/production/chicago-richard-rodgers-theatre-vault-0000003074,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Chicago-Playbill-2024-06-01_Web.jpg,Ambassador Theatre,https://maps.google.com/maps?q=Ambassador%20Theatre,Broadway,"219 W. 49TH ST., NEW YORK, NY (US)",Musical,Revival,Active,28 years,SCHEDULE,June 16–29: Monday,"7pm, Tuesday"
Dead Outlaw,https://playbill.com/production/dead-outlaw-broadway-longacre-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Dead-Outlaw-Playbill-2025-06-01_Web.jpg,Longacre Theatre,https://maps.google.com/maps?q=Longacre%20Theatre,Broadway,"220 W. 48TH ST., NEW YORK, NY (US)",Musical,One Act,Upcoming,0 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Death Becomes Her,https://playbill.com/production/death-becomes-her-broadway-lunt-fontanne-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Death-Becomes-Her-Playbill-2025-06-01_Web.jpg,Lunt-Fontanne Theatre,https://maps.google.com/maps?q=Lunt-Fontanne%20Theatre,Broadway,"205 W. 46TH ST., NEW YORK, NY (US)",Comedy,Musical,Active,0 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Glengarry Glen Ross,https://playbill.com/production/glengarry-glen-ross-broadway-palace-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Glengarry-Glen-Ross-Playbill-2025-06-01_Web.jpg,Palace Theatre,https://maps.google.com/maps?q=Palace%20Theatre,Broadway,"160 W 47TH ST., NEW YORK, NY (US)",Play,Drama,Upcoming,0 years,SCHEDULE,June 16–21: Monday,"7pm, Tuesday"
Glengarry Glen Ross,https://playbill.com/production/glengarry-glen-ross-broadway-palace-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Glengarry-Glen-Ross-Playbill-2025-06-01_Web.jpg,Palace Theatre,https://maps.google.com/maps?q=Palace%20Theatre,Broadway,"160 W 47TH ST., NEW YORK, NY (US)",Play,Drama,Upcoming,0 years,SCHEDULE,June 23–28: Monday,"7pm, Tuesday"
Gypsy,https://playbill.com/production/gypsy-broadway-majestic-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Gypsy-Playbill-2025-06-01_Web.jpg,Majestic Theatre,https://maps.google.com/maps?q=Majestic%20Theatre,Broadway,"245 W. 44TH ST., NEW YORK , NY (US)",Musical,Revival,Active,0 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Hadestown,https://playbill.com/production/hadestownwalter-kerr-theatre-2018-2019,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Hadestown-Playbill-2024-06-01_Web.jpg,Walter Kerr Theatre,https://maps.google.com/maps?q=Walter%20Kerr%20Theatre,Broadway,"219 W. 48TH ST., NEW YORK, NY (US)",Musical,Original,Active,6 years,SCHEDULE,June 17–29: Tuesday,"7pm, Wednesday"
Hamilton,https://playbill.com/production/hamilton-broadway-richard-rodgers-theatre-2015,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Hamilton-Playbill-2023-06-01_Web.jpg,Richard Rodgers Theatre,https://maps.google.com/maps?q=Richard%20Rodgers%20Theatre,Broadway,"226 W 46TH ST., NEW YORK, NY (US)",Musical,Original,Active,9 years,SCHEDULE,June 17–22: Tuesday,"7pm, Wednesday"
Hamilton,https://playbill.com/production/hamilton-broadway-richard-rodgers-theatre-2015,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Hamilton-Playbill-2023-06-01_Web.jpg,Richard Rodgers Theatre,https://maps.google.com/maps?q=Richard%20Rodgers%20Theatre,Broadway,"226 W 46TH ST., NEW YORK, NY (US)",Musical,Original,Active,9 years,SCHEDULE,June 24–28: Tuesday,"7pm, Wednesday"
