title,description,image_url,reviews,price
Wicked,Meet the witches of Oz before Dorothy dropped in.,https://imaging.broadway.com/images/poster-178275/w77/93168-2.png,436,$134.40
Harry Potter and the Cursed Child,It's time to believe in magic again.,https://imaging.broadway.com/images/poster-178275/w77/126906-3.jpg,335,$77.60
The Lion King,Pride Rock comes to life in Disney’s long-running hit.,https://imaging.broadway.com/images/poster-178275/w77/135756-5.jpg,380,$101.90
Hamilton,A fresh look at the era of the Founding Fathers.,https://imaging.broadway.com/images/poster-178275/w77/135658-5.jpg,396,$126.80
MJ,Michael Jackson's unique and unparalleled artistry sets Broadway ablaze in this 4x Tony Award-winning hit.,https://imaging.broadway.com/images/poster-178275/w77/112926-12.jpg,627,$88.40
Death Becomes Her,"A new musical, based on the 1992 film of the same name.",https://imaging.broadway.com/images/poster-178275/w77/130399-3.jpg,240,$63.80
Aladdin,The beloved Disney story is brought to thrilling theatrical life.,https://imaging.broadway.com/images/poster-178275/w77/128907-3.jpg,349,$76.10
Moulin Rouge! The Musical,"A theatrical celebration of truth, beauty, freedom and love.",https://imaging.broadway.com/images/poster-178275/w77/126327-9.jpg,425,$68.40
Sunset Boulevard,Nicole Scherzinger makes her Broadway debut in the revival of Andrew Lloyd Webber's thrilling musical.,https://imaging.broadway.com/images/poster-178275/w77/130256-13.jpg,301,$76.10
Just In Time,Jonathan Groff stars as the legendary Bobby Darin in this immersive Broadway musical.,https://imaging.broadway.com/images/poster-178275/w77/132458-3.jpg,148,$126.80
The Outsiders,The Tony Award®-winning Best Musical based on S.E. Hinton's classic novel and Francis Ford Coppola's motion picture.,https://imaging.broadway.com/images/poster-178275/w77/127494-7.jpg,467,$96.30
The Great Gatsby,The roaring '20s take the stage in the musical adaptation of F. Scott Fitzgerald's timeless novel.,https://imaging.broadway.com/images/poster-178275/w77/135785-3.jpg,624,$53.20
Stranger Things: The First Shadow,The Olivier Award-winning prequel to the hit Netflix series arrives on Broadway.,https://imaging.broadway.com/images/poster-178275/w77/129906-3.jpg,113,$64.90
The Book of Mormon,The nine-time Tony Award-winning Best Musical.,https://imaging.broadway.com/images/poster-178275/w77/130476-5.jpg,227,$79.20
Buena Vista Social Club,The GRAMMY® Award-winning album comes to thrilling life on stage. Some music you know by heart.,https://imaging.broadway.com/images/poster-178275/w77/132768-3.jpg,264,$94.20
Hell's Kitchen,A new musical featuring music and lyrics from 16-time Grammy Award winner Alicia Keys.,https://imaging.broadway.com/images/poster-178275/w77/132457-3.jpg,878,$53.20
Hadestown,The Tony-winning musical that follows the mythical quest of Orpheus.,https://imaging.broadway.com/images/poster-178275/w77/133959-3.jpg,237,$68.40
& Juliet,There's life after Romeo at this larger-than-life musical by the Emmy-winning writer from Schitt's Creek and pop music's #1 hitmaker.,https://imaging.broadway.com/images/poster-178275/w77/135518-3.jpg,386,$66.10
Cabaret,Orville Peck and Eva Noblezada star in the Broadway revival of Kander and Ebb's classic musical.,https://imaging.broadway.com/images/poster-178275/w77/133962-5.jpg,323,$68.40
Chicago,Celebrating 28 years on Broadway! The Tony-winning revival of Kander and Ebb’s musical will razzle dazzle you.,https://imaging.broadway.com/images/poster-178275/w77/126919-3.jpg,315,$80.60
SIX: The Musical,A pop concert spectacle featuring the six ex-wives of Henry VIII.,https://imaging.broadway.com/images/poster-178275/w77/134931-3.jpg,249,$72.50
Gypsy,"Audra McDonald returns to Broadway as Rose in the classic musical from Arthur Laurents, Jule Styne and Stephen Sondheim.",https://imaging.broadway.com/images/poster-178275/w77/129155-5.jpg,298,$54.30
Operation Mincemeat: A New Musical,The Olivier Award-winning Best Musical crosses the pond!,https://imaging.broadway.com/images/poster-178275/w77/132657-3.jpg,137,$54.30
Real Women Have Curves,A musical adaptation of Josefina López's play and the 2002 film makes its Broadway premiere.,https://imaging.broadway.com/images/poster-178275/w77/133995-3.jpg,40,$80.10
Dead Outlaw,A new musical from the Tony-winning team behind The Band's Visit.,https://imaging.broadway.com/images/poster-178275/w77/132482-5.jpg,23,$65.10
Little Shop of Horrors,Experience this cult favorite musical as it was meant to be seen.,https://imaging.broadway.com/images/poster-178275/w77/130287-3.jpg,85,$90.90
The Play That Goes Wrong,A celebration of the best of live theater… and the worst.,https://imaging.broadway.com/images/poster-178275/w77/135476-3.jpg,130,$146.10
