Name,Link,Image URL,Theatre,Market,Market Presence,Production Type,Origin,Status,Age of Production (yrs),Date Range,Date,Time,Category
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 24, 2025",7pm,show-production
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 25, 2025",2pm,show-production
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 26, 2025",7pm,show-production
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 27, 2025",8pm,show-production
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 28, 2025",2pm,show-production
& Juliet,https://playbill.com/production/juliet-broadway-stephen-sondheim-theatre-2022,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Juliet-Playbill-2025-06-01_Web.jpg,Stephen Sondheim,Broadway,New York (US),Musical,Original,Active,2,June 24–29,"June 29, 2025",1pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 24, 2025",7pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 25, 2025",2pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 26, 2025",7pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 27, 2025",8pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 28, 2025",2pm,show-production
Aladdin,https://playbill.com/production/aladdin-new-amsterdam-theatre-vault-0000014037,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Aladdin-Playbill-2025-06-01_Web.jpg,New Amsterdam,Broadway,New York (US),Musical,Original,Active,11,June 24–29,"June 29, 2025",3pm,show-production
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 24, 2025",7pm,show-production
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 25, 2025",2pm,show-production
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 26, 2025",7pm,show-production
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 27, 2025",7pm,show-production
BOOP! The Musical,https://playbill.com/production/boop-the-musical-broadway-broadhurst-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Boop-The-Musical-Playbill-2025-06-01_Web.jpg,Broadhurst,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 29, 2025",3pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 24, 2025",7pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 25, 2025",2pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 26, 2025",7pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 27, 2025",7:30pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 28, 2025",2pm,show-production
Buena Vista Social Club,https://playbill.com/production/buena-vista-social-club-broadway-gerald-schoenfeld-theatre-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Buena-Vista-Social-Club-Playbill-2025-06-01_Web.jpg,Gerald Schoenfeld,Broadway,New York (US),Musical,Original,Active,0,June 24–29,"June 29, 2025",3pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 24, 2025",7pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 25, 2025",2pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 26, 2025",7pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 27, 2025",7pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 28, 2025",2pm,show-production
Cabaret,https://playbill.com/production/cabaret-broadway-august-wilson-theatre-2024,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Cabaret-Playbill-2024-06-01_Web.jpg,August Wilson,Broadway,New York (US),Musical,Revival,Upcoming,1,June 24–29,"June 29, 2025",3pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 24, 2025",7pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 25, 2025",2pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 26, 2025",7pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 27, 2025",7pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 28, 2025",2pm,show-production
Call Me Izzy,https://playbill.com/production/call-me-izzy-broadway-studio-54-2025,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Call-Me-Izzy-Playbill-2025-06-01_Web.jpg,Studio 54,Broadway,New York (US),Play,One Act,Active,0,June 24–29,"June 29, 2025",2pm,show-production
Chicago,https://playbill.com/production/chicago-richard-rodgers-theatre-vault-0000003074,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Chicago-Playbill-2024-06-01_Web.jpg,Ambassador,Broadway,New York (US),Musical,Revival,Active,28,June 23–29,"June 23, 2025",7pm,show-production
Chicago,https://playbill.com/production/chicago-richard-rodgers-theatre-vault-0000003074,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Chicago-Playbill-2024-06-01_Web.jpg,Ambassador,Broadway,New York (US),Musical,Revival,Active,28,June 23–29,"June 24, 2025",7pm,show-production
Chicago,https://playbill.com/production/chicago-richard-rodgers-theatre-vault-0000003074,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Chicago-Playbill-2024-06-01_Web.jpg,Ambassador,Broadway,New York (US),Musical,Revival,Active,28,June 23–29,"June 26, 2025",7pm,show-production
Chicago,https://playbill.com/production/chicago-richard-rodgers-theatre-vault-0000003074,https://assets.playbill.com/playbill-covers/_playbillListingTileCover/Chicago-Playbill-2024-06-01_Web.jpg,Ambassador,Broadway,New York (US),Musical,Revival,Active,28,June 23–29,"June 27, 2025",8pm,show-production
